garden,continent,lineid,population,latitude,longitude,experimental.block,dbolt,dfl,rdiam,rlvs,height,branches,fruit,totfruit,survrepro
SC,NA,NA-1,RP,42.44048889,-76.49535833,1,93,97,4.4,41,5.7,71,0,0,1
ONT,NA,NA-1,RP,42.44048889,-76.49535833,1,,,,,,,,0,0
SC,NA,NA-1,RP,42.44048889,-76.49535833,2,102,110,6.5,46,16.1,25,21,21,1
ONT,NA,NA-1,RP,42.44048889,-76.49535833,2,,,,,,,,0,0
SC,NA,NA-1,RP,42.44048889,-76.49535833,3,87,91,5.8,57,26.8,23,301,301,1
ONT,NA,NA-1,RP,42.44048889,-76.49535833,3,196,208,2.6,20,27,31,594,594,1
SC,NA,NA-1,RP,42.44048889,-76.49535833,4,90,94,9.6,38,29.8,79,699,699,1
ONT,NA,NA-1,RP,42.44048889,-76.49535833,4,196,207,3.4,32,25.8,15,417,417,1
SC,NA,NA-1,RP,42.44048889,-76.49535833,5,98,101,4.6,25,24.7,21,83,83,1
ONT,NA,NA-1,RP,42.44048889,-76.49535833,5,198,207,2.2,23,21.7,7,124,124,1
ONT,NA,NA-10,ColdSpringHarborLab,40.87063056,-73.4583,1,,,,,,,,0,0
SC,NA,NA-10,ColdSpringHarborLab,40.87063056,-73.4583,1,70,73,6.8,25,40,23,507,507,1
SC,NA,NA-10,ColdSpringHarborLab,40.87063056,-73.4583,2,88,91,2.7,23,20.2,6,106,106,1
ONT,NA,NA-10,ColdSpringHarborLab,40.87063056,-73.4583,2,193,206,2.7,31,27.7,17,335,335,1
SC,NA,NA-10,ColdSpringHarborLab,40.87063056,-73.4583,3,74,77,6.3,23,36.7,13,236,236,1
ONT,NA,NA-10,ColdSpringHarborLab,40.87063056,-73.4583,3,,,,,,,,0,0
ONT,NA,NA-10,ColdSpringHarborLab,40.87063056,-73.4583,4,,,,,,,,0,0
SC,NA,NA-10,ColdSpringHarborLab,40.87063056,-73.4583,4,74,79,6.4,16,35,10,322,322,1
ONT,NA,NA-10,ColdSpringHarborLab,40.87063056,-73.4583,5,194,206,3.1,21,29.2,21,343,343,1
SC,NA,NA-10,ColdSpringHarborLab,40.87063056,-73.4583,5,71,79,7.6,18,40,16,413,413,1
ONT,NA,NA-100,NYRR,40.94444444,-72.86138889,1,198,207,2.5,24,28,18,128,128,1
SC,NA,NA-100,NYRR,40.94444444,-72.86138889,1,87,105,4.5,35,15.2,17,65,65,1
SC,NA,NA-100,NYRR,40.94444444,-72.86138889,2,80,85,6.3,27,44,6,212,212,1
ONT,NA,NA-100,NYRR,40.94444444,-72.86138889,2,198,207,3.2,27,27.8,19,380,380,1
SC,NA,NA-100,NYRR,40.94444444,-72.86138889,3,79,85,9.3,40,48.9,22,673,673,1
ONT,NA,NA-100,NYRR,40.94444444,-72.86138889,3,,,,,,,,0,0
